datetime,co2content,temperature
2023-11-28 14:21:05,635.61,17.67
2023-11-28 14:33:23,558.69,17.39
2023-11-28 14:45:33,517.46,17.25
2023-11-28 14:57:47,727.92,17.48
2023-11-28 15:10:01,846.15,17.85
2023-11-28 15:22:15,849.61,18.31
2023-11-28 15:34:29,867.76,18.63
2023-11-28 15:51:34,866.84,18.83
2023-11-28 16:03:48,870.3,18.87
2023-11-28 16:16:02,870.84,18.8
2023-11-28 16:28:16,866.23,18.77
2023-11-28 16:40:29,872.38,18.76
2023-11-28 16:52:44,871.15,18.75
2023-11-28 17:04:58,872.61,18.75
2023-11-28 17:17:11,868.23,18.74
2023-11-28 17:29:26,866.69,18.7
2023-11-28 17:41:39,866.69,18.67
2023-11-28 17:53:53,864.84,18.66
2023-11-28 18:06:08,861.3,18.64
2023-11-28 18:18:22,865.38,18.63
2023-11-28 18:30:35,865.15,18.61
2023-11-28 18:42:49,853.07,18.59
2023-11-28 18:55:03,848.07,18.57
2023-11-28 19:07:17,847.61,18.52
2023-11-28 19:19:35,843.38,18.36
2023-11-28 19:31:45,842.0,18.49
2023-11-28 19:44:00,842.61,18.45
2023-11-28 19:56:13,833.76,18.41
2023-11-28 20:08:27,828.76,18.4
2023-11-28 20:20:41,814.3,18.37
2023-11-28 20:32:55,812.23,18.35
2023-11-28 20:45:09,810.3,18.34
2023-11-28 20:57:23,799.46,18.33
2023-11-28 21:09:37,797.61,18.33
2023-11-28 21:21:51,794.92,18.34
2023-11-28 21:34:05,791.38,18.3
2023-11-28 21:46:19,787.38,18.26
2023-11-28 21:58:33,779.84,18.25
2023-11-28 22:10:47,772.0,18.23
2023-11-28 22:23:01,765.3,18.22
2023-11-28 22:35:15,756.53,18.2
2023-11-28 22:47:29,750.38,18.19
2023-11-28 22:59:43,755.15,18.2
2023-11-28 23:11:57,746.0,18.21
2023-11-28 23:24:11,731.69,18.23
2023-11-28 23:36:25,721.69,18.23
2023-11-28 23:48:39,720.07,18.25
2023-11-29 00:00:53,697.92,18.29
2023-11-29 00:13:07,693.53,18.29
2023-11-29 00:25:21,690.84,18.26
2023-11-29 00:37:35,675.07,18.26
2023-11-29 00:49:49,679.0,18.29
2023-11-29 01:02:03,666.53,18.28
2023-11-29 01:14:17,660.92,18.3
2023-11-29 01:26:31,650.15,18.3
2023-11-29 01:38:45,642.84,18.29
2023-11-29 01:50:59,635.23,18.29
2023-11-29 02:03:13,628.15,18.3
2023-11-29 02:15:27,616.07,18.3
2023-11-29 02:27:40,614.53,18.29
2023-11-29 02:39:55,611.15,18.29
2023-11-29 02:52:09,600.84,18.29
2023-11-29 03:04:23,599.61,18.3
2023-11-29 03:16:36,594.3,18.28
2023-11-29 03:28:51,587.92,18.29
2023-11-29 03:41:05,579.61,18.29
2023-11-29 03:53:19,578.46,18.29
